a, d
2/9/2004 4:52:54 PM
Set #2

  TIME    TORQUE   POSITION    POS (ANAT)    VELOCITY
  mSec    FT-LBS    Degrees      Degrees       DEG/SEC
     0       0.0      174.5           94         -5.5
    10      23.5      174.5           94          0.2
    20       5.8      174.4           94         14.3
    30      29.8      174.2           94         22.6
    40       7.8      173.9           93         37.2
    50      20.2      173.5           93         44.1
    60      13.2      172.9           92         50.3
    70      14.3      172.3           92         58.5
    80      13.4      171.6           91         66.0
    90      14.8      170.8           90         74.0
   100      16.6      169.9           89        101.6
   110      14.7      168.9           88        113.9
   120      18.1      167.7           87        114.7
   130      15.1      166.5           86        127.2
   140      16.9      165.1           85        138.9
   150      15.9      163.7           83        147.7
   160      22.1      162.2           82        149.0
   170      23.1      160.7           80        149.3
   180      25.0      159.2           79        149.8
   190      25.5      157.7           77        149.3
   200      25.3      156.2           76        149.8
   210      24.7      154.7           74        149.6
   220      25.1      153.2           73        149.8
   230      27.0      151.7           71        149.6
   240      28.8      150.2           70        150.1
   250      30.5      148.7           68        149.8
   260      32.0      147.2           67        150.1
   270      34.1      145.7           65        150.1
   280      34.8      144.2           64        150.1
   290      35.7      142.7           62        149.8
   300      36.6      141.2           61        149.8
   310      38.0      139.7           59        149.8
   320      39.0      138.2           58        149.8
   330      40.6      136.7           56        150.1
   340      41.2      135.2           55        150.1
   350      42.2      133.7           53        150.1
   360      42.5      132.2           52        150.1
   370      42.9      130.7           50        149.8
   380      43.1      129.2           49        149.8
   390      43.0      127.7           47        149.8
   400      43.0      126.2           46        149.6
   410      42.6      124.7           44        149.6
   420      42.9      123.2           43        149.8
   430      42.8      121.7           41        149.8
   440      42.3      120.2           40        149.6
   450      40.8      118.7           38        149.6
   460      38.9      117.2           37        149.6
   470      37.1      115.7           35        149.3
   480      36.3      114.2           34        149.3
   490      34.1      112.7           32        149.3
   500      31.6      111.2           31        149.3
   510      30.4      109.7           29        149.3
   520      29.7      108.2           28        149.6
   530      27.9      106.8           26        149.0
   540      26.8      105.3           25        149.3
   550      24.4      103.8           23        149.0
   560      22.5      102.3           22        149.0
   570      20.3      100.8           20        149.0
   580      18.2       99.3           19        149.0
   590      16.8       97.8           17        149.0
   600      16.7       96.3           16        149.0
   610      16.1       94.8           14        149.3
   620     -18.6       93.3           13        148.8
   630     -17.1       91.9           11        142.9
   640      15.3       90.5           10        140.0
   650      18.1       89.1            9        138.7
   660      20.3       88.1            8        106.4
   670      32.3       87.3            7         84.3
   680      30.2       86.7            6         65.2
   690      24.6       86.2            6         46.0
   700      20.9       85.8            5         31.6
   710      16.8       85.5            5         29.2
   720      16.8       85.3            5         22.8
   730      16.3       85.1            5         17.8
   740     -21.3       85.0            5         13.3
   750     -17.7       84.9            4          9.3
   760     -17.1       84.9            4          6.9
   770     -18.7       84.8            4          5.5
   780     -16.8       84.8            4          0.7
   790      -1.9       84.8            4         -8.5
   800       0.0       85.0            5        -21.8
   810       0.0       85.3            5        -34.0
   820       0.0       85.8            5        -49.7
   830       0.0       86.2            6        -47.1
   840       0.0       86.9            6        -59.9
   850       0.0       87.5            7        -76.1
   860       0.0       88.3            8        -78.2
   870       0.0       89.1            9        -84.9
   880       0.0       90.0           10        -92.6
   890       0.0       91.0           11       -101.4
   900       0.0       92.1           12       -111.0
   910       0.0       93.3           13       -122.7
   920       0.0       94.6           14       -133.1
   930       0.0       96.0           16       -143.7
   940       0.0       97.5           17       -148.5
   950      -3.1       99.0           19       -149.3
   960      -5.8      100.5           20       -149.3
   970      -7.6      102.0           22       -149.8
   980      -9.9      103.5           23       -149.8
   990     -10.8      105.0           25       -150.1
  1000     -11.2      106.5           26       -150.1
  1010     -10.6      108.0           28       -149.8
  1020     -10.3      109.5           29       -149.6
  1030     -10.6      111.0           31       -149.6
  1040     -11.2      112.5           32       -149.8
  1050     -12.0      114.0           34       -149.6
  1060     -11.8      115.5           35       -149.8
  1070     -11.6      117.0           37       -149.8
  1080     -11.3      118.5           38       -149.3
  1090      -9.8      120.0           40       -149.6
  1100      -9.8      121.5           41       -149.3
  1110      -9.6      123.0           43       -149.8
  1120      -9.9      124.5           44       -149.3
  1130      -9.7      126.0           46       -149.6
  1140      -9.5      127.5           47       -149.3
  1150      -9.4      129.0           49       -149.8
  1160      -9.7      130.5           50       -149.8
  1170      -9.5      131.9           51       -149.3
  1180      -9.3      133.4           53       -149.8
  1190      -9.7      134.9           54       -149.3
  1200      -9.2      136.4           56       -149.6
  1210      -9.1      137.9           57       -149.3
  1220      -8.8      139.4           59       -149.6
  1230      -9.1      140.9           60       -149.6
  1240      -9.0      142.4           62       -149.6
  1250      -7.8      143.9           63       -149.3
  1260      -7.1      145.4           65       -149.3
  1270      -6.0      146.9           66       -149.6
  1280      -6.2      148.4           68       -149.0
  1290      -5.8      149.9           69       -149.6
  1300      -5.6      151.4           71       -149.3
  1310      -4.0      152.9           72       -149.6
  1320      -3.3      154.4           74       -149.3
  1330      -2.2      155.9           75       -149.0
  1340      -1.5      157.4           77       -149.3
  1350      -0.9      158.9           78       -149.3
  1360      -1.1      160.4           80       -149.6
  1370      -1.5      161.9           81       -149.3
  1380      -1.7      163.3           83       -149.8
  1390      -2.0      164.8           84       -149.6
  1400      -1.6      166.3           86       -149.6
  1410       0.0      167.8           87       -149.6
  1420       0.0      169.3           89       -148.5
  1430      -1.4      170.6           90       -131.2
  1440      -7.9      171.6           91       -100.3
  1450     -11.8      172.3           92        -76.6
  1460     -17.5      172.9           92        -59.9
  1470     -15.6      173.3           93        -45.5
  1480      -7.2      173.7           93        -34.0
  1490      -4.6      173.9           93        -25.5
  1500      -5.7      174.1           94        -19.7
  1510      -6.6      174.2           94        -14.9
  1520      -3.0      174.3           94        -10.9
  1530       0.0      174.4           94         -7.9
  1540       0.0      174.5           94         -6.3
  1550       0.0      174.5           94         -4.7
  1560       0.0      174.6           94         -2.9
  1570       4.1      174.6           94         -1.8
  1580      16.3      174.6           94          4.7
  1590       8.4      174.4           94         14.3
  1600      19.4      174.3           94         17.3
  1610       6.4      174.0           94         33.2
  1620      19.8      173.7           93         34.8
  1630      10.7      173.2           93         41.7
  1640      16.6      172.7           92         48.9
  1650      11.4      172.1           92         57.2
  1660      19.1      171.4           91         65.2
  1670      16.2      170.6           90         75.3
  1680      19.1      169.7           89         85.7
  1690      19.8      168.6           88        108.3
  1700      20.6      167.4           87        123.2
  1710      17.6      166.0           86        137.9
  1720      19.3      164.6           84        148.2
  1730      22.4      163.1           83        149.0
  1740      23.8      161.6           81        149.3
  1750      25.8      160.1           80        149.6
  1760      27.2      158.6           78        150.1
  1770      27.2      157.1           77        150.1
  1780      28.1      155.6           75        149.8
  1790      29.1      154.1           74        150.1
  1800      30.5      152.6           72        150.1
  1810      33.0      151.1           71        150.1
  1820      36.0      149.6           69        150.4
  1830      38.5      148.1           68        150.4
  1840      42.4      146.6           66        150.6
  1850      45.0      145.1           65        150.6
  1860      48.0      143.6           63        151.2
  1870      50.0      142.1           62        151.2
  1880      52.1      140.6           60        150.9
  1890      52.7      139.1           59        150.9
  1900      53.2      137.5           57        151.2
  1910      53.5      136.0           56        151.2
  1920      53.5      134.5           54        151.2
  1930      54.0      133.0           53        150.6
  1940      53.1      131.5           51        150.9
  1950      53.0      130.0           50        150.6
  1960      51.7      128.5           48        150.6
  1970      49.9      127.0           47        150.4
  1980      49.5      125.5           45        150.1
  1990      48.5      124.0           44        150.1
  2000      46.8      122.5           42        149.8
  2010      45.5      121.0           41        150.1
  2020      44.7      119.5           39        149.8
  2030      42.7      118.0           38        149.8
  2040      41.2      116.5           36        149.6
  2050      39.3      115.0           35        149.6
  2060      37.4      113.5           33        149.6
  2070      35.7      112.0           32        149.6
  2080      34.8      110.5           30        149.6
  2090      32.0      109.0           29        149.3
  2100      29.8      107.5           27        149.3
  2110      28.2      106.0           26        149.3
  2120      26.4      104.6           24        149.3
  2130      24.5      103.1           23        149.3
  2140      23.6      101.6           21        149.6
  2150      21.7      100.1           20        149.3
  2160      20.9       98.6           18        149.3
  2170      19.9       97.1           17        149.3
  2180      18.8       95.6           15        149.6
  2190      17.1       94.1           14        149.6
  2200      17.1       92.6           12        149.6
  2210      16.8       91.1           11        149.8
  2220     -19.7       89.6            9        161.3
  2230      17.7       88.4            8        125.1
  2240      28.6       87.5            7         95.8
  2250      25.5       86.8            6         74.2
  2260      26.1       86.2            6         56.1
  2270      24.0       85.8            5         42.5
  2280      20.0       85.5            5         32.2
  2290      16.8       85.3            5         24.2
  2300      16.7       85.1            5         18.6
  2310     -21.0       84.9            4         13.8
  2320     -19.2       84.9            4          8.5
  2330     -17.1       84.8            4          5.8
  2340     -22.4       84.8            4          3.9
  2350      -7.7       84.8            4         -3.7
  2360       0.0       84.9            4        -15.4
  2370      -2.4       85.2            5        -25.8
  2380       0.0       85.5            5        -36.7
  2390       0.0       86.0            6        -46.0
  2400       0.0       86.6            6        -52.1
  2410       0.0       87.2            7        -59.9
  2420       0.0       88.0            8        -67.8
  2430       0.0       88.8            8        -91.8
  2440       0.0       89.7            9        -91.3
  2450       0.0       90.7           10        -99.0
  2460       0.0       91.7           11       -106.2
  2470       0.0       92.8           12       -115.5
  2480       0.0       94.1           14       -125.6
  2490       0.0       95.4           15       -136.3
  2500       0.0       96.9           16       -146.6
  2510      -2.3       98.3           18       -148.8
  2520      -5.3       99.8           19       -149.6
  2530      -8.0      101.3           21       -149.6
  2540      -9.8      102.8           22       -149.8
  2550     -10.1      104.3           24       -150.1
  2560     -10.9      105.8           25       -149.8
  2570     -11.2      107.3           27       -149.8
  2580     -11.7      108.8           28       -149.6
  2590     -11.9      110.3           30       -149.8
  2600     -11.9      111.8           31       -149.6
  2610     -12.2      113.3           33       -149.8
  2620     -12.4      114.8           34       -149.6
  2630     -12.7      116.3           36       -149.6
  2640     -11.8      117.8           37       -149.8
  2650     -11.5      119.3           39       -149.6
  2660     -10.7      120.8           40       -149.8
  2670     -10.4      122.3           42       -149.3
  2680     -10.3      123.8           43       -149.3
  2690      -9.0      125.3           45       -149.6
  2700      -9.1      126.8           46       -149.3
  2710      -8.2      128.3           48       -149.6
  2720      -8.5      129.8           49       -149.3
  2730      -7.7      131.3           51       -149.6
  2740      -7.9      132.8           52       -149.3
  2750      -7.1      134.3           54       -149.6
  2760      -6.8      135.8           55       -149.3
  2770      -6.1      137.3           57       -149.3
  2780      -6.0      138.8           58       -149.6
  2790      -6.8      140.3           60       -149.3
  2800      -5.9      141.8           61       -149.8
  2810      -6.0      143.3           63       -149.0
  2820      -5.0      144.8           64       -149.6
  2830      -5.3      146.3           66       -149.3
  2840      -4.6      147.7           67       -149.3
  2850      -5.0      149.2           69       -149.6
  2860      -4.4      150.7           70       -149.3
  2870      -3.7      152.2           72       -149.3
  2880      -3.1      153.7           73       -149.3
  2890      -2.0      155.2           75       -149.3
  2900      -1.3      156.7           76       -149.3
  2910      -0.7      158.2           78       -149.3
  2920      -0.9      159.7           79       -149.3
  2930      -1.3      161.2           81       -149.3
  2940      -1.5      162.7           82       -149.6
  2950      -1.9      164.2           84       -149.6
  2960       0.9      165.7           85       -149.3
  2970      -0.3      167.2           87       -148.0
  2980       0.1      168.6           88       -145.0
  2990       0.7      170.0           90       -144.5
  3000      -0.5      171.1           91       -110.2
  3010       0.0      171.9           91        -84.6
  3020      -2.0      172.5           92        -65.4
  3030      -5.3      173.0           93        -50.5
  3040      -0.6      173.4           93        -38.8
  3050      -1.5      173.7           93        -29.8
  3060      -3.6      173.9           93        -23.1
  3070      -2.4      174.1           94        -17.5
  3080       0.0      174.2           94        -13.3
  3090       0.0      174.3           94         -8.2
  3100       0.0      174.4           94         -6.1
  3110       0.0      174.4           94         -5.5
  3120       9.9      174.5           94         -1.5
  3130      19.4      174.4           94          4.5
  3140      17.0      174.3           94         15.4
  3150      21.4      174.1           94         23.6
  3160      11.4      173.7           93         43.3
  3170      23.3      173.3           93         43.3
  3180      14.7      172.7           92         56.1
  3190      15.6      172.0           92         65.2
  3200      12.8      171.2           91         73.7
  3210      19.3      170.3           90         81.9
  3220      14.8      169.3           89         92.9
  3230      18.7      168.1           88        114.2
  3240      16.9      166.9           86        127.5
  3250      17.0      165.5           85        140.2
  3260      14.8      164.1           84        148.2
  3270      20.4      162.6           82        148.8
  3280      21.9      161.1           81        149.3
  3290      22.9      159.6           79        149.6
  3300      24.8      158.1           78        149.6
  3310      25.2      156.6           76        149.6
  3320      24.1      155.1           75        149.6
  3330      24.5      153.6           73        149.6
  3340      25.4      152.1           72        149.6
  3350      25.3      150.6           70        149.8
  3360      26.7      149.1           69        149.8
  3370      27.4      147.6           67        149.8
  3380      28.5      146.1           66        149.8
  3390      30.4      144.6           64        150.1
  3400      31.9      143.1           63        150.1
  3410      33.4      141.6           61        150.1
  3420      35.9      140.1           60        150.1
  3430      36.8      138.6           58        150.1
  3440      37.7      137.1           57        150.1
  3450      38.0      135.6           55        150.1
  3460      38.4      134.1           54        150.1
  3470      38.2      132.6           52        150.1
  3480      38.1      131.1           51        149.8
  3490      37.3      129.6           49        149.8
  3500      36.7      128.1           48        149.8
  3510      36.0      126.6           46        149.8
  3520      35.7      125.1           45        149.6
